Driving_Distance,Percent_Accuracy,Sex
243.2,67,female
254.5,70.1,female
253.1,59.3,female
228.1,70.4,female
240.8,69.5,female
244,69,female
257.9,66.3,female
255.8,68.3,female
249.9,63.5,female
251.3,70.3,female
244.4,66,female
246.6,70.1,female
239.2,68.6,female
236.2,56.9,female
267.7,67.2,female
235.3,75.5,female
249.1,64.2,female
239.4,65.8,female
244.2,65.6,female
259.7,68.5,female
268.5,54.2,female
248.2,68.4,female
247.2,71.8,female
236.8,67.8,female
238.2,65.3,female
229.3,73.1,female
253.1,65.1,female
252,79.8,female
259.4,65.4,female
226.7,72.1,female
254.6,66.9,female
249,74,female
244.8,69.9,female
246.3,70.2,female
248.2,60.4,female
237.4,73.6,female
245.4,69.3,female
245.2,73.5,female
243.8,75.5,female
251.2,64.5,female
255.9,71.7,female
235.3,69.5,female
258.1,58.3,female
242.5,69.4,female
244.3,71,female
251,67.5,female
263.6,68.3,female
246.3,69.3,female
254.3,62.4,female
242.6,64.7,female
246.9,67.7,female
243.3,68.4,female
243.5,70.2,female
236.6,73.8,female
239.4,75.8,female
249.3,70.4,female
253.6,64.3,female
268,60.9,female
246.1,74.9,female
246.1,72.8,female
253.9,71.3,female
248.8,60.5,female
246.7,68.6,female
246.5,71.2,female
250.2,66.6,female
248.4,59.4,female
252,63.1,female
238.7,70.7,female
261.5,68.4,female
261.1,61,female
232.1,66.7,female
257.2,60.8,female
243,57.9,female
242.7,64.9,female
249.7,70.9,female
247,59.9,female
233.7,77.7,female
243.7,62.6,female
244,73.5,female
244,62.4,female
252.8,50.3,female
250.2,66,female
237.8,74.6,female
224.8,72.6,female
253.7,55.6,female
242.6,73.9,female
261.5,62.7,female
253.4,58.4,female
242.3,62.6,female
269.5,66,female
248.1,65.3,female
244.9,72.4,female
240.9,73.1,female
266.2,59.9,female
254.2,64.8,female
241.9,76.8,female
237.4,79.8,female
240.4,78.5,female
238.1,71.7,female
246.9,52.2,female
237.8,73,female
243.6,71.9,female
242.1,73.3,female
255.7,53.9,female
249.5,65.8,female
253.2,62.6,female
247.9,68.8,female
244.9,73.5,female
256.9,62.1,female
229.9,77,female
248.1,63.1,female
257.9,68.1,female
232.7,71.2,female
240.7,66.9,female
245.7,71.5,female
243,59.2,female
257.9,65.6,female
258.4,65.4,female
239.9,61.9,female
246.8,73.4,female
250.8,70.2,female
251.8,66.6,female
238.6,68.6,female
255.7,66.5,female
242.4,70.4,female
241.1,65.4,female
251.4,61.3,female
254.6,61.9,female
232.8,75.6,female
243,70,female
261.2,67,female
237.8,71.4,female
255.3,70.8,female
249.4,64.7,female
239.6,62.7,female
240.7,69.2,female
247.6,70.3,female
240.8,71.5,female
243,78.8,female
268.8,59.3,female
250.2,65.7,female
237.7,72,female
254.8,67.6,female
235.2,78.4,female
265.8,66.9,female
241,70.2,female
256.4,66.4,female
240.9,66.5,female
225.1,78.2,female
225.8,49.3,female
231.1,70.4,female
262.5,63.9,female
250.4,68.4,female
266.4,63,female
242.6,70,female
245.3,66.2,female
230.6,78.8,female
290.3,59.5,male
302.1,54.7,male
287.1,62.4,male
282.7,65.4,male
299.1,52.8,male
300.2,51.1,male
300.9,58.3,male
279.5,73.9,male
287.8,67.6,male
284.7,67.2,male
296.7,60,male
283.3,59.4,male
284,72.2,male
292,62.1,male
282.6,66.5,male
287.9,60.9,male
279.2,67.3,male
291.7,64.8,male
289.9,58.1,male
289.9,61.7,male
298.8,56.4,male
280.8,60.5,male
294.9,57.5,male
287.5,61.8,male
282.7,56,male
277.7,72.5,male
270.5,71.7,male
285.2,66,male
315.1,55.2,male
281.9,67.6,male
293.3,58.2,male
286,59.9,male
285.6,58.2,male
289.9,65.7,male
277.5,59,male
293.6,56.8,male
301.1,65.4,male
300.8,63.4,male
287.4,67.3,male
281.8,72.6,male
277.4,63.1,male
279.1,66.5,male
287.4,66.4,male
280.9,62.3,male
287.8,57.2,male
261.4,69.2,male
272.6,69.4,male
291.3,65.3,male
294.2,52.8,male
285.5,49,male
287.9,61.1,male
282.2,65.6,male
301.3,58.2,male
276.2,61.7,male
281.6,68.1,male
275.5,61.2,male
309.7,53.1,male
287.7,56.4,male
291.6,56.9,male
284.1,65,male
299.6,57.5,male
282.7,60,male
271.5,72,male
292.1,58.2,male
295,59.4,male
247.9,69,male
273.6,68.7,male
299.9,60.1,male
279.9,74,male
289.9,66,male
283.6,59.8,male
310.3,52.4,male
291.7,65.6,male
284.2,63.2,male
295,53.5,male
298.6,55.1,male
297.4,60.4,male
299.7,67.7,male
284.4,69.7,male
286.4,72.4,male
285.9,66.9,male
297.6,54.3,male
272.5,62,male
277,66.2,male
287.6,60.9,male
280.4,69.4,male
280,63.7,male
295.4,52.8,male
274.4,68.8,male
286.5,73.1,male
287.7,65.2,male
291.5,65.9,male
279,69.4,male
299,65.2,male
290.1,69.1,male
288.9,67.9,male
288.8,68.2,male
283.2,61,male
293.2,58.4,male
285.3,67.3,male
284.1,65.7,male
281.4,67.7,male
286.1,61.4,male
284.9,62.3,male
284.8,68.1,male
296,62,male
282.9,71.8,male
280.9,67.8,male
291.2,62,male
292.8,62.2,male
291,61.9,male
283.9,62.4,male
283.9,62.9,male
298.4,61.5,male
285.1,65.3,male
286.1,60.1,male
283.1,65.4,male
289.4,58.3,male
284.6,70.7,male
296.6,62.3,male
295.9,64.9,male
295.2,62.8,male
293.9,54.5,male
275,65.5,male
286.8,69.5,male
291.1,64.4,male
284.8,62.5,male
283.7,59.5,male
295.4,66.9,male
291.8,62.7,male
274.9,72.3,male
302.9,61.2,male
272.1,80.4,male
274.9,74.9,male
296.3,59.4,male
286.2,58.8,male
294.2,63.3,male
284.1,66.5,male
299.2,62.4,male
275.4,71,male
273.2,70.9,male
281.6,65.9,male
295.7,55.3,male
287.1,56.8,male
287.7,66.9,male
296.7,53.7,male
282.2,64.2,male
291.7,65.6,male
281.6,73.4,male
311,56.2,male
278.6,64.7,male
288,65.7,male
276.7,72.1,male
292,62,male
286.4,69.9,male
292.7,65.7,male
294.2,62.9,male
278.6,59.6,male
283.1,66.2,male
284.1,66,male
278.6,73.6,male
291.1,60.4,male
294.6,59.4,male
274.3,70.5,male
274.3,57.1,male
283.8,62.7,male
272.7,66.9,male
303.2,58.3,male
282,70.4,male
281.9,61,male
287,59.9,male
293.5,63.8,male
283.6,56.3,male
296.9,55.3,male
290.9,58.2,male
303,58.1,male
292.8,61.1,male
281.1,65,male
293,61.1,male
284,66.5,male
279.8,66.7,male
292.9,65.4,male
284,66.9,male
282,64.5,male
280.6,64,male
287.7,63.4,male
287.7,63.4,male
298.3,59.5,male
299.6,53.4,male
291.3,62.5,male
295.2,61.4,male
288,62.4,male
297.8,59.5,male
286,62.6,male
285.3,66.2,male
286.9,63.4,male
275.1,73.7,male
