WeatherPattern,Snowfall
El_Nino,31.9
El_Nino,57.9
La_Nina,107.2
La_Nina,82.9
El_Nino,65.8
El_Nino,66.2
La_Nina,60.1
El_Nino,55.8
El_Nino,42.8
El_Nino,58.7
La_Nina,59.5
La_Nina,65.3
El_Nino,75.4
La_Nina,47.1
La_Nina,70.3
La_Nina,64.2
El_Nino,63.1
El_Nino,87.9
El_Nino,63.1
El_Nino,57.7
La_Nina,60.9
El_Nino,38.6
El_Nino,38.3
La_Nina,75.2
El_Nino,43.5
El_Nino,45.2
La_Nina,78.9
El_Nino,57.1
La_Nina,46
La_Nina,51.4
La_Nina,49.5
El_Nino,61
El_Nino,55.1
La_Nina,46.9
El_Nino,47.6
La_Nina,56.2
La_Nina,61.9
El_Nino,67
La_Nina,51.7
La_Nina,44.5
El_Nino,65.5
El_Nino,48.1
La_Nina,65.2
La_Nina,80.9
